Abortiporus biennis
Guepiniopsis alpina
Gymnopilus allantopus
Gymnopilus aurantiophyllus
Gymnopilus ferruginosus
Gymnopilus junonius
Gymnopilus luteofolius
Gymnopilus luteus
Gymnopilus penetrans
Gymnopilus purpuratus
Gymnopilus sapineus
Gymnopilus ventricosus
Gymnopus androsaceus
Gymnopus brassicolens
Gymnopus dryophilus
Gymnopus fusipes
Gymnopus iocephalus
Hebeloma crustuliniforme
Heimiomyces tenuipes
Hemipholiota populnea
Hemistropharia albocrenulata
Henningsomyces candidus
Hericium coralloides
Hohenbuehelia petaloides
Humidicutis marginata
Hygrocybe acutoconica
Hygrocybe astatogala
Hygrocybe cantharellus
Hygrocybe ceracea
Hygrocybe chlorophana
Hygrocybe coccinea
Hygrocybe conica
Hygrocybe cuspidata
Hygrocybe flavescens
Hygrocybe miniata
Hygrocybe punicea
Hygrocybe reidii
Hygrocybe singeri
Hygrophoropsis aurantiaca
Hygrophorus chrysodon
Hygrophorus eburneus
Hypholoma acutum
Hypholoma brunneum
Hypholoma capnoides
Hypholoma fasciculare
Hypholoma lateritium
Hypsizygus ulmarius
Infundibulicybe geotropa
Infundibulicybe gibba
Inocybe geophylla
Inocybe lilacina
Kuehneromyces mutabilis
Laccaria amethysteo-occidentalis
Laccaria amethystina
Laccaria laccata
Laccaria ochropurpurea
Lacrymaria lacrymabunda
Lactarius rubidus
Lactarius rubrilacteus
Lactarius rufulus
Lactarius xanthogalactus
Laetiporus conifericola
Lentinellus ursinus
Lepiota castaneidisca
Lepiota clypeolaria
Lepiota cristata
Lepiota magnispora
Lepiota rubrotinctoides
Leratiomyces ceres
Leratiomyces erythrocephalus
Leratiomyces percevalii
Leucoagaricus americanus
Leucoagaricus leucothites
Leucoagaricus rubrotinctus
Leucocoprinus birnbaumii
Leucocoprinus brebissonii
Leucocoprinus cepistipes
Leucocoprinus cretaceus
Leucocoprinus fragilissimus
Leucopaxillus albissimus
Leucopaxillus gentianeus
Lichenomphalia chromacea
Lichenomphalia ericetorum
Lycoperdon echinatum
Lycoperdon excipuliforme
Lycoperdon marginatum
Lycoperdon perlatum
Lycoperdon pratense
Lycoperdon umbrinum
Lycoperdon utriforme
Lyophyllum decastes
Macrocystidia cucumis
Macrolepiota clelandii
Macrolepiota macilenta
Macrolepiota mastoidea
Macrolepiota procera
Macrotyphula fistulosa
Macrotyphula juncea
Marasmiellus candidus
Marasmius elegans
Marasmius haematocephalus
Marasmius oreades
Marasmius plicatulus
Marasmius rotula
Marasmius siccus
Marasmius vagus
Megacollybia platyphylla
Megacollybia rodmanii
Montagnea arenaria
Mutinus elegans
Mycena acicula
Mycena californiensis
Mycena clarkeana
Mycena corticola
Mycena crocata
Mycena crocea
Mycena cystidiosa
Mycena epipterygia
Mycena galericulata
Mycena haematopus
Mycena inclinata
Mycena interrupta
Mycena kuurkacea
Mycena lazulina
Mycena leaiana
Mycena leptocephala
Mycena pura
Mycena purpureofusca
Mycena renati
Mycena rosea
Mycena subgalericulata
Mycetinis alliaceus
Nidula candida
Nidula niveotomentosa
Omphalotus illudens
Omphalotus nidiformis
Omphalotus olearius
Omphalotus olivascens
Omphalotus subilludens
Oudemansiella australis
Oudemansiella furfuracea
Oudemansiella gigaspora
Oudemansiella mucida
Oudemansiella radicata
Panaeolus antillarum
Panaeolus cinctulus
Panaeolus cyanescens
Panaeolus foenisecii
Panaeolus papilionaceus
Panaeolus semiovatus
Panellus luxfilamentus
Panellus stipticus
Panus conchatus
Paralepista flaccida
Parasola auricoma
Parasola conopilea
Parasola plicatilis
Phloeomana speirea
Pholiota aurivella
Pholiota flammans
Pholiota polychroa
Pholiota spumosa
Pholiota squarrosa
Pholiota squarrosoides
Pholiotina rugosa
Phyllotopsis nidulans
Pleurocybella porrigens
Pleurotus citrinopileatus
Pleurotus dryinus
Pleurotus levis
Pleurotus ostreatus
Pleurotus populinus
Pleurotus pulmonarius
Pleurotus purpureo-olivaceus
Pluteus atromarginatus
Pluteus aurantiorugosus
Pluteus cervinus
Pluteus chrysophlebius
Pluteus exilis
Pluteus longistriatus
Pluteus petasatus
Podaxis pistillaris
Porodaedalea pini
Porpolomopsis calyptriformis
Porpolomopsis lewelliniae
Protostropharia semiglobata
Psathyrella corrugis
Psathyrella echinata
Psathyrella longipes
Psathyrella piluliformis
Pseudoclitocybe cyathiformis
Pseudohydnum gelatinosum
Pseudosperma sororium
Psilocybe allenii
Psilocybe caerulescens
Psilocybe caerulipes
Psilocybe cubensis
Psilocybe cyanescens
Psilocybe ovoideocystidiata
Psilocybe pelliculosa
Psilocybe semilanceata
Psilocybe subaeruginosa
Psilocybe weraroa
Psilocybe zapotecorum
Radulomyces copelandii
Ramariopsis kunzei
Resupinatus applicatus
Rhizomarasmius pyrrhocephalus
Rhodocollybia asema
Rhodocollybia butyracea
Rhodocollybia eucalyptorum
Rhodocollybia maculata
Rhodotus palmatus
Roridomyces austrororidus
Roridomyces roridus
Russula brevipes
Russula cremoricolor
Sarcomyxa serotina
Schizophyllum commune
Scleroderma citrinum
Scytinotus longinquus
Sphaerobolus stellatus
Stereum ostrea
Strobilurus esculentus
Strobilurus trullisatus
Stropharia aeruginosa
Stropharia ambigua
Stropharia caerulea
Stropharia coronilla
Stropharia rugosoannulata
Suillus caerulescens
Suillus lakei
Suillus pungens
Tetrapyrgos nigripes
Trametes hirsuta
Trichaptum abietinum
Tricholoma caligatum
Tricholoma dryophilum
Tricholoma equestre
Tricholoma murrillianum
Tricholoma saponaceum
Tricholoma sulphureum
Tricholoma terreum
Tricholoma vaccinum
Tricholomopsis decora
Tricholomopsis rutilans
Tubaria furfuracea
Tulostoma brumale
Tylopilus felleus
Typhrasa gossypina
Volvariella bombycina
Volvopluteus gloiocephalus
Xeromphalina campanella
